2696 2613 2616 2065
2223 2172 2173 1792
1800 1779 1778 1523
1542 1530 1528 1369
1385 1378 1380 1283
1304 1303 1301 1231
1292 1293 1291 1231
1355 1356 1354 1296
1496 1493 1492 1434
1733 1718 1717 1603
2114 2073 2082 1875
2572 2496 2499 2138
2537 2460 2462 1965
2098 2056 2048 1716
1696 1678 1677 1468
1453 1446 1444 1325
1304 1300 1298 1219
1224 1224 1222 1172
1213 1215 1213 1172
1274 1277 1275 1243
1409 1405 1404 1354
1632 1619 1622 1523
1993 1952 1960 1766
2406 2345 2346 2031
2385 2323 2324 1875
1979 1937 1937 1625
1604 1588 1586 1401
1368 1363 1365 1256
1221 1221 1222 1161
1144 1148 1146 1108
1137 1140 1138 1118
1195 1200 1198 1183
1326 1327 1329 1296
1542 1534 1533 1468
1879 1845 1844 1669
2269 2210 2211 1934
2297 2230 2241 1846
1905 1865 1865 1583
1542 1525 1528 1354
1313 1307 1308 1219
1168 1167 1168 1118
1090 1093 1093 1069
1084 1088 1086 1069
1144 1148 1146 1139
1274 1274 1272 1256
1480 1476 1474 1401
1806 1779 1778 1625
2180 2126 2136 1875
2232 2163 2173 1792
1848 1805 1804 1542
1496 1476 1478 1325
1271 1261 1262 1183
1125 1123 1123 1078
1051 1052 1050 1033
1043 1043 1043 1042
1101 1103 1103 1098
1229 1230 1228 1206
1435 1425 1428 1354
1749 1724 1723 1583
2122 2065 2065 1846
2206 2135 2136 1766
1824 1779 1785 1523
1476 1454 1457 1310
1251 1242 1243 1161
1107 1103 1103 1060
1032 1030 1030 1007
1024 1024 1024 1024
1084 1084 1084 1078
1211 1209 1207 1183
1416 1405 1404 1339
1733 1701 1706 1562
2090 2040 2040 1792
2232 2163 2163 1792
1848 1805 1804 1562
1492 1471 1470 1325
1265 1254 1256 1172
1118 1113 1113 1069
1041 1039 1037 1024
1035 1037 1035 1033
1094 1093 1093 1088
1224 1224 1222 1195
1431 1421 1420 1339
1749 1718 1723 1583
2114 2065 2065 1819
2287 2210 2211 1846
1892 1845 1844 1603
1529 1507 1505 1354
1298 1283 1281 1195
1146 1143 1141 1088
1069 1068 1065 1042
1063 1063 1061 1050
1121 1123 1120 1108
1254 1251 1252 1206
1465 1454 1457 1369
1789 1761 1760 1603
2163 2108 2108 1846
2375 2291 2292 1904
1965 1908 1907 1647
1585 1553 1557 1401
1345 1331 1329 1231
1195 1186 1184 1128
1114 1110 1108 1078
1103 1103 1101 1078
1165 1167 1162 1139
1301 1297 1295 1231
1517 1507 1505 1401
1848 1818 1817 1625
2232 2182 2182 1875
2525 2424 2438 1998
2082 2023 2023 1741
1681 1651 1649 1468
1431 1413 1412 1296
1274 1264 1262 1195
1192 1186 1184 1139
1182 1178 1176 1139
1246 1242 1240 1195
1381 1378 1377 1296
1608 1593 1597 1468
1965 1922 1922 1716
2365 2302 2313 1965
2736 2627 2630 2138
2259 2182 2182 1846
1824 1779 1778 1562
1555 1525 1524 1385
1385 1371 1369 1283
1298 1290 1285 1231
1289 1280 1278 1219
1358 1349 1347 1269
1500 1489 1487 1385
1744 1718 1723 1562
2122 2073 2082 1819
2572 2496 2499 2101
2922 2803 2807 2257
2406 2323 2324 1934
1945 1893 1886 1647
1656 1624 1622 1468
1484 1463 1457 1354
1392 1378 1373 1296
1381 1371 1365 1283
1450 1442 1436 1339
1604 1588 1581 1451
1854 1831 1830 1647
2259 2210 2211 1904
2736 2655 2658 2216
